"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"8600000US01373","ZCTA5 01373","4854","392"
"8600000US01375","ZCTA5 01375","3647","16"
"8600000US01376","ZCTA5 01376","5013","280"
"8600000US01378","ZCTA5 01378","792","112"
"8600000US01379","ZCTA5 01379","829","122"
"8600000US01420","ZCTA5 01420","40702","34"
"8600000US01430","ZCTA5 01430","6297","30"
"8600000US01431","ZCTA5 01431","3220","25"
"8600000US01432","ZCTA5 01432","7699","259"
"8600000US01434","ZCTA5 01434","1969","428"
"8600000US01436","ZCTA5 01436","3374","628"
"8600000US01438","ZCTA5 01438","694","506"
"8600000US01440","ZCTA5 01440","20610","26"
"8600000US01450","ZCTA5 01450","11313","28"
"8600000US01451","ZCTA5 01451","4731","333"
"8600000US01452","ZCTA5 01452","4708","21"
"8600000US01453","ZCTA5 01453","41647","75"
"8600000US01460","ZCTA5 01460","10071","23"
"8600000US01462","ZCTA5 01462","11402","23"
"8600000US01463","ZCTA5 01463","12105","24"
"8600000US01464","ZCTA5 01464","7633","20"
"8600000US01467","ZCTA5 01467","276","167"
"8600000US01468","ZCTA5 01468","4062","621"
"8600000US01469","ZCTA5 01469","7670","291"
"8600000US01473","ZCTA5 01473","7766","22"
"8600000US01474","ZCTA5 01474","1803","288"
"8600000US01475","ZCTA5 01475","10825","35"
"8600000US01501","ZCTA5 01501","16619","35"
"8600000US01503","ZCTA5 01503","3182","28"
"8600000US01504","ZCTA5 01504","9263","23"
"8600000US01505","ZCTA5 01505","4623","18"
"8600000US01506","ZCTA5 01506","3441","21"
"8600000US01507","ZCTA5 01507","13550","22"
"8600000US01510","ZCTA5 01510","13935","29"
"8600000US01515","ZCTA5 01515","2040","170"
"8600000US01516","ZCTA5 01516","8859","20"
"8600000US01518","ZCTA5 01518","3947","529"
"8600000US01519","ZCTA5 01519","7042","532"
"8600000US01520","ZCTA5 01520","15781","384"
"8600000US01521","ZCTA5 01521","2630","250"
"8600000US01522","ZCTA5 01522","3270","387"
"8600000US01523","ZCTA5 01523","7794","208"
"8600000US01524","ZCTA5 01524","6654","490"
"8600000US01525","ZCTA5 01525","544","250"
"8600000US01527","ZCTA5 01527","13732","28"
"8600000US01529","ZCTA5 01529","3256","31"
"8600000US01531","ZCTA5 01531","1211","153"
"8600000US01532","ZCTA5 01532","15056","27"
"8600000US01534","ZCTA5 01534","6296","625"
"8600000US01535","ZCTA5 01535","4774","23"
"8600000US01536","ZCTA5 01536","7576","535"
"8600000US01537","ZCTA5 01537","2201","446"
"8600000US01540","ZCTA5 01540","11581","497"
"8600000US01541","ZCTA5 01541","3455","25"
"8600000US01542","ZCTA5 01542","2567","465"
"8600000US01543","ZCTA5 01543","8685","38"
"8600000US01545","ZCTA5 01545","37086","196"
"8600000US01550","ZCTA5 01550","16887","32"
"8600000US01560","ZCTA5 01560","4396","295"
"8600000US01561","ZCTA5 01561","209","190"
"8600000US01562","ZCTA5 01562","11928","29"
"8600000US01564","ZCTA5 01564","8091","18"
"8600000US01566","ZCTA5 01566","5592","530"
"8600000US01568","ZCTA5 01568","7894","28"
"8600000US01569","ZCTA5 01569","14025","57"
"8600000US01570","ZCTA5 01570","16973","27"
"8600000US01571","ZCTA5 01571","11723","26"
"8600000US01581","ZCTA5 01581","19037","37"
"8600000US01583","ZCTA5 01583","7693","106"
"8600000US01585","ZCTA5 01585","4569","323"
"8600000US01588","ZCTA5 01588","9750","670"
"8600000US01590","ZCTA5 01590","9404","72"
"8600000US01602","ZCTA5 01602","22900","931"
"8600000US01603","ZCTA5 01603","19731","1226"
"8600000US01604","ZCTA5 01604","38191","1500"
"8600000US01605","ZCTA5 01605","28533","1128"
"8600000US01606","ZCTA5 01606","19896","957"
"8600000US01607","ZCTA5 01607","8167","659"
"8600000US01608","ZCTA5 01608","4471","691"
"8600000US01609","ZCTA5 01609","21628","1188"
"8600000US01610","ZCTA5 01610","22023","1128"
"8600000US01611","ZCTA5 01611","2277","387"
"8600000US01612","ZCTA5 01612","4900","19"
"8600000US01701","ZCTA5 01701","32590","765"
"8600000US01702","ZCTA5 01702","39799","780"
"8600000US01718","ZCTA5 01718","790","295"
"8600000US01719","ZCTA5 01719","5561","20"
"8600000US01720","ZCTA5 01720","22791","304"
"8600000US01721","ZCTA5 01721","17710","24"
"8600000US01730","ZCTA5 01730","14070","52"
"8600000US01731","ZCTA5 01731","2059","142"
"8600000US01740","ZCTA5 01740","5299","25"
"8600000US01741","ZCTA5 01741","5224","18"
"8600000US01742","ZCTA5 01742","19121","104"
"8600000US01745","ZCTA5 01745","595","215"
"8600000US01746","ZCTA5 01746","14724","40"
"8600000US01747","ZCTA5 01747","5947","38"
"8600000US01748","ZCTA5 01748","17598","30"
"8600000US01749","ZCTA5 01749","19887","23"
"8600000US01752","ZCTA5 01752","39736","24"
"8600000US01754","ZCTA5 01754","10754","29"
"8600000US01756","ZCTA5 01756","6115","23"
"8600000US01757","ZCTA5 01757","28883","35"
"8600000US01760","ZCTA5 01760","35761","197"
"8600000US01770","ZCTA5 01770","4316","24"
"8600000US01772","ZCTA5 01772","9526","217"
"8600000US01773","ZCTA5 01773","4884","157"
"8600000US01775","ZCTA5 01775","7133","27"
"8600000US01776","ZCTA5 01776","19122","25"
"8600000US01778","ZCTA5 01778","14088","194"
"8600000US01801","ZCTA5 01801","40359","91"
"8600000US01803","ZCTA5 01803","27650","67"
"8600000US01810","ZCTA5 01810","35816","55"
"8600000US01821","ZCTA5 01821","32797","525"
"8600000US01824","ZCTA5 01824","25754","359"
"8600000US01826","ZCTA5 01826","31294","99"
"8600000US01827","ZCTA5 01827","3366","20"
"8600000US01830","ZCTA5 01830","26305","892"
"8600000US01832","ZCTA5 01832","23270","825"
"8600000US01833","ZCTA5 01833","8695","20"
"8600000US01834","ZCTA5 01834","6780","25"
"8600000US01835","ZCTA5 01835","13958","544"
"8600000US01840","ZCTA5 01840","5573","567"
"8600000US01841","ZCTA5 01841","49367","1134"
"8600000US01843","ZCTA5 01843","25002","1129"
"8600000US01844","ZCTA5 01844","50282","59"
"8600000US01845","ZCTA5 01845","30842","28"
"8600000US01850","ZCTA5 01850","16151","730"
"8600000US01851","ZCTA5 01851","30686","908"
"8600000US01852","ZCTA5 01852","35532","909"
"8600000US01854","ZCTA5 01854","28937","1014"
"8600000US01860","ZCTA5 01860","6890","19"
"8600000US01862","ZCTA5 01862","10623","540"
"8600000US01863","ZCTA5 01863","9372","362"
"8600000US01864","ZCTA5 01864","15581","23"
"8600000US01867","ZCTA5 01867","25077","85"
"8600000US01876","ZCTA5 01876","30878","130"
"8600000US01879","ZCTA5 01879","12443","100"
"8600000US01880","ZCTA5 01880","26720","92"
"8600000US01886","ZCTA5 01886","24342","42"
"8600000US01887","ZCTA5 01887","23377","45"
"8600000US01890","ZCTA5 01890","22738","35"
"8600000US01901","ZCTA5 01901","2135","469"
"8600000US01902","ZCTA5 01902","49641","1298"
"8600000US01904","ZCTA5 01904","17294","1097"
"8600000US01905","ZCTA5 01905","24580","922"
"8600000US01906","ZCTA5 01906","28222","42"
"8600000US01907","ZCTA5 01907","15278","187"
"8600000US01908","ZCTA5 01908","3502","20"
"8600000US01913","ZCTA5 01913","17434","46"
"8600000US01915","ZCTA5 01915","41885","25"
"8600000US01921","ZCTA5 01921","8282","16"
"8600000US01922","ZCTA5 01922","3910","437"
"8600000US01923","ZCTA5 01923","27406","44"
"8600000US01929","ZCTA5 01929","3745","20"
"8600000US01930","ZCTA5 01930","30162","26"
"8600000US01937","ZCTA5 01937","180","35"
"8600000US01938","ZCTA5 01938","13963","25"
"8600000US01940","ZCTA5 01940","13474","213"
"8600000US01944","ZCTA5 01944","5383","18"
"8600000US01945","ZCTA5 01945","20500","40"
"8600000US01949","ZCTA5 01949","9872","17"
"8600000US01950","ZCTA5 01950","18077","30"
"8600000US01951","ZCTA5 01951","3150","439"
"8600000US01952","ZCTA5 01952","9379","83"
"8600000US01960","ZCTA5 01960","52628","168"
"8600000US01966","ZCTA5 01966","7231","18"
"8600000US01969","ZCTA5 01969","6372","19"
"8600000US01970","ZCTA5 01970","43033","158"
"8600000US01982","ZCTA5 01982","8031","22"
"8600000US01983","ZCTA5 01983","6568","27"
"8600000US01984","ZCTA5 01984","5240","21"
"8600000US01985","ZCTA5 01985","4631","17"
"8600000US02019","ZCTA5 02019","17108","29"
"8600000US02021","ZCTA5 02021","23369","66"
"8600000US02025","ZCTA5 02025","8484","22"
"8600000US02026","ZCTA5 02026","25265","57"
"8600000US02030","ZCTA5 02030","6044","25"
"8600000US02032","ZCTA5 02032","4194","500"
"8600000US02035","ZCTA5 02035","17727","28"
"8600000US02038","ZCTA5 02038","33256","36"
"8600000US02043","ZCTA5 02043","23652","22"
"8600000US02045","ZCTA5 02045","10455","24"
"8600000US02047","ZCTA5 02047","97","60"
"8600000US02048","ZCTA5 02048","23947","30"
"8600000US02050","ZCTA5 02050","26222","285"
"8600000US02052","ZCTA5 02052","12841","35"
"8600000US02053","ZCTA5 02053","13325","20"
"8600000US02054","ZCTA5 02054","8233","23"
"8600000US02056","ZCTA5 02056","11309","192"
"8600000US02061","ZCTA5 02061","11054","18"
"8600000US02062","ZCTA5 02062","29306","31"
"8600000US02066","ZCTA5 02066","18239","286"
"8600000US02067","ZCTA5 02067","18508","45"
"8600000US02071","ZCTA5 02071","1526","432"
"8600000US02072","ZCTA5 02072","28639","41"
"8600000US02081","ZCTA5 02081","19904","628"
"8600000US02090","ZCTA5 02090","16154","40"
"8600000US02093","ZCTA5 02093","11823","39"
"8600000US02108","ZCTA5 02108","4454","479"
"8600000US02109","ZCTA5 02109","4190","885"
"8600000US02110","ZCTA5 02110","2314","363"
"8600000US02111","ZCTA5 02111","7926","675"
"8600000US02113","ZCTA5 02113","6966","405"
"8600000US02114","ZCTA5 02114","13335","669"
"8600000US02115","ZCTA5 02115","28652","994"
"8600000US02116","ZCTA5 02116","23157","979"
"8600000US02118","ZCTA5 02118","28262","1258"
"8600000US02119","ZCTA5 02119","27818","1146"
"8600000US02120","ZCTA5 02120","15188","1201"
"8600000US02121","ZCTA5 02121","30159","1461"
"8600000US02122","ZCTA5 02122","24485","1125"
"8600000US02124","ZCTA5 02124","56649","1933"
"8600000US02125","ZCTA5 02125","34847","1175"
"8600000US02126","ZCTA5 02126","29620","1733"
"8600000US02127","ZCTA5 02127","37634","1080"
"8600000US02128","ZCTA5 02128","47263","1593"
"8600000US02129","ZCTA5 02129","19890","753"
